Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,reviewed_by
seawater_conductivity,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_temperature,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_density,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_pressure,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_temperature,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_density,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00002,2016-05-28T00:00:00Z,2016-07-16T20:18:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
oxy_calphase,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
practical_salinity,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = 0.0 global_max = 42.0,friedrich
practical_salinity,D00003,2016-07-18T17:45:56Z,2016-10-08T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00003,2016-07-18T17:45:56Z,2016-10-08T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
temperature,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
oxygen,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
ctd_tc_oxygen,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
seawater_pressure,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich
seawater_pressure,D00003,2016-07-18T17:45:56Z,2016-10-08T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_conductivity,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich
seawater_conductivity,D00003,2016-07-18T17:45:56Z,2016-10-08T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
oxy_temp,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
seawater_temperature,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich
seawater_temperature,D00003,2016-07-18T17:45:56Z,2016-10-08T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
pressure,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
pressure_temp,D00003,2016-07-18T17:45:56Z,2017-03-28T13:00:11Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
